genes	A11	A12	A1	A3	A4	A5	B11	B3	B5	B6	C10	C11	C1	C2	C3	C4	C6	C8	C9	D11
KRIT1	0	2.747715475	2.074418267	2.386058432	3.283641414	0	0.022566887	2.413840076	4.471760469	0.864730421	2.835915757	0.101248478	1.319887508	0.101099701	0	0	4.058593096	0	1.608122409	0.773271652
RAD52	1.420331799	1.18161492	1.648799474	2.079727192	0.556393349	1.108452198	1.197416425	0	4.564642516	0	0.743230094	3.114250655	0	0	0	0.573185333	0	0	2.144447131	3.229426013
BAD	0	0	0	0	0.581268017	1.280641056	1.722026282	0	0	0	0	2.99652533	0	0	0	0	0	1.394411223	0	0
LAP3	0	0.379323984	2.090201375	0	1.623074101	1.907222941	1.280799771	0	0	0	0.696878595	2.840177868	2.636291556	0.449383693	4.976158513	3.094057954	0	4.18940128	3.192784551	3.793529909
CD99	9.402447822	5.150533335	4.151529374	9.328470941	4.591527607	6.616738792	5.127085342	5.944191606	8.228011363	6.393718113	4.997093975	7.752939095	5.440304258	5.724372982	5.313145802	4.381901982	6.106635637	6.557563718	6.529126677	6.070210907
LASP1	0.404390255	0.048959903	0.101761934	4.33173127	0.202756394	0.229175203	0.050855932	1.148967689	0	3.698894625	0	0	1.751674161	3.085230636	0	0.117658427	0	0.069452817	0	0
SNX11	7.28172552	0	0	0	0	0	0	0	0	0.079874366	3.403124178	3.903183983	0	0	0	1.281175841	0	0	0	0
TMEM176A	9.382941836	1.840178769	3.767022221	0	1.460169381	3.009092943	0	3.815085694	0	1.852400695	0.486517208	0	0	0	6.146495562	2.086193657	4.841069242	4.977681099	0	0
M6PR	6.679687071	3.093398226	3.841740048	8.351842717	2.391790218	4.493091448	3.90777918	4.005442386	5.838013791	4.474163862	2.705033307	0.635151187	3.392317423	0	4.878116771	0.618249748	2.157627643	0	2.634791184	5.474376716
ICA1	6.371712594	3.209698063	3.446364185	6.920488199	2.154841413	0	0.886857413	1.701421477	0	3.755664625	3.248440924	4.690558071	1.600175595	4.415855442	3.738945958	2.975819788	2.483517237	2.504261537	2.766362553	0
ALS2	0.732716121	0	0	0	2.994176897	0	0	1.756305384	0	0	0	3.083768358	0	3.597397667	0	2.446683126	2.903547153	0	0	0
CFLAR	5.389283363	0.905279995	1.903780627	0	0.562902135	0.720555616	3.154065273	0.841599135	3.731152853	0.01813594	1.430175875	0.986050826	0.022759903	2.402000839	2.920184774	0.632963746	1.024831853	2.066997165	0.157280792	2.415087453
TFPI	0.843274496	0.043845253	0.113991938	0.862496476	0.63024338	2.246185027	0.12824066	0.48664224	1.840128663	0.31515959	0.295817192	0.296407693	4.583687472	1.038307831	0.413234806	6.137577689	4.947609883	1.644866939	0.229340466	0.089858682
NDUFAF7	0	1.508789305	3.060549602	0	0	0	0.356719656	1.580344736	0	0	0	0	0	0	0	0	1.85336732	3.985947187	0	0.304397779
RBM5	0	2.832254466	2.591302995	0	2.414114765	0.694465383	1.205941001	0.065517411	6.755447881	0.057250216	3.842761544	0	0	3.670122217	5.696859862	0	0.792006958	0	0.444434458	0.84087467
MTMR7	4.115885162	2.002450198	0.436876583	0	0	0	2.246750604	2.469455729	0	0	2.069661949	0	3.018047776	0	2.945475994	0.356250221	0	5.171926056	0.078833506	3.567202937
SLC7A2	7.911920641	1.440929964	1.998233795	0	0	3.288501906	0	3.299194508	0.249519599	2.039824286	1.894992422	1.988385074	0.210692854	2.893952624	4.033389995	2.766569307	1.343144581	4.943648164	0	0.019056238
ARF5	8.544907628	1.888463052	0.594190025	0	1.65529326	1.361537307	2.569521216	1.633777526	5.879733181	3.727145465	0	2.463259265	0	4.420753381	0	2.824121262	1.779901709	4.152289778	3.085239547	0
POLDIP2	0	0.269684227	0.58103466	4.883754097	0.491213397	0.659310532	0.08822386	0.164714145	0	0.389490186	0	0	0	0	0	0	0	0	3.01664125	0
AK2	6.776529796	2.170092669	3.661093387	0	3.280455149	2.402147443	2.021311656	2.823977758	0	4.533761914	2.982663233	4.946013144	4.361525347	3.925785579	4.129900565	3.444703763	0.200762405	4.556559516	3.879905409	4.222206863
FKBP4	4.732716121	0	2.35873401	0	0	0.401718644	1.484838492	0.679666925	0	2.44400247	0	1.809263346	1.486518813	0.111165056	2.455626937	0.396473415	0	0.127168315	0.462487186	0
KDM1A	0	1.684330487	2.799127883	0	0	2.061556341	0.160175696	0	0	1.601295072	3.707925294	0	0.787556509	0	1.445872726	1.044153323	0	0	0	0.053352062
RBM6	1.489965987	0.14557514	1.139641484	1.032421478	1.631911098	3.089567585	1.772943346	3.537464674	6.31193087	3.503546676	2.877262258	5.052163261	5.003262127	0.707782399	3.677869215	2.419782861	0.903323981	5.028074576	3.700334073	4.240842855
CAMKK1	0.654004145	0.120807235	0.189405382	4.700439718	1.057505673	0.727689535	2.223092507	0	2.19547976	0	0.024396008	3.556491033	1.37497801	0	0.102894686	0	0.042774024	0.232919684	0.260629054	2.298398365
CCDC132	2.504994196	1.831088566	0	10.39124359	3.567826758	0	2.817848514	0	0	0	1.926579782	0.036551583	0.103269271	0	0	0	0	0	3.625974795	0
NDUFAB1	8.155487936	3.686734931	4.317945188	8.224111331	3.645596705	3.81313844	4.002228593	2.838627569	0	4.908258728	4.568090762	4.534607247	5.412147145	4.849363018	5.885376398	2.843544287	4.378013813	3.020566291	4.043748921	3.11101281
PDK4	2.256833067	0	3.515908166	0	1.590609064	0	0.524226741	0.894066555	0	3.603473859	3.620472597	0	0.626831227	7.335865441	7.120412682	0.191083489	1.053272271	0.132302466	3.205197159	0.434290921
ARX	6.334864783	0	0.200917401	0	0	0	0	0.524116946	0	0	0	0	0	0	2.925506274	0	0	0.164401221	0	0
SLC25A13	0	0.711540985	2.244579185	6.775685096	0.094261993	0	2.659162408	0.111543486	0	0	1.648311858	2.631671019	0	0	0.690092191	0	2.866477592	2.459346506	0	0.224560258
